# name: ACS25-44
# attribute -- name: Gender, editable: true
# attribute -- name: Age, type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Marital, description: marital status, type: categorical, precision: 2, editable: false
# attribute -- name: Education, description: highest grade, type: categorical, precision: 2, editable: true
# attribute -- name: TotalIncome, description: total income, type: numeric, precision: 0, editable: true
# attribute -- name: Race, editable: true
# attribute -- name: Hispanic, description: Hispanic/Latin@ status, type: categorical, precision: 2, editable: true
# attribute -- name: EmplStatus, description: employment status, type: categorical, precision: 2, editable: true
Gender,Age,Marital,Education,TotalIncome,Race,Hispanic,EmplStatus
Male,33,Never,HS Grad,19600,White,Mexican,Civ Employed
Female,33,Separated,HS Grad,28000,White,Mexican,Civ Employed
Female,33,Separated,some HS,13200,White,Mexican,Civ Employed
Female,33,Divorced,some college,27300,White,Not Hisp,Civ Employed
Female,33,Divorced,some college,38000,White,Not Hisp,Civ Employed
Female,33,Married,some HS,24000,Multi,Not Hisp,Civ Employed
Male,33,Married,bachelor's,78000,White,Not Hisp,Civ Employed
Male,33,Married,HS Grad,66000,White,Not Hisp,Civ Employed
Male,33,Married,graduate,50000,White,Not Hisp,Civ Employed
Male,33,Married,HS Grad,8000,White,Not Hisp,Civ Employed
Male,33,Married,graduate,63000,White,Not Hisp,Civ Employed
Female,33,Never,HS Grad,37200,Asian,Not Hisp,Civ Employed
Female,33,Never,bachelor's,70000,Asian,Not Hisp,Civ Employed
Male,33,Never,some college,20000,Asian,Not Hisp,Civ Employed
Male,33,Never,bachelor's,88000,Asian,Not Hisp,Civ Employed
Female,33,Never,bachelor's,36000,Multi,Not Hisp,Civ Employed
Female,33,Never,some college,25000,White,Not Hisp,Civ Employed
Female,33,Separated,graduate,30000,White,Not Hisp,Civ Employed
Male,33,Separated,some college,130000,White,Not Hisp,Civ Employed
Male,33,Married,some HS,15400,Other,Salvadoran,Civ Employed
Female,33,Never,some college,590,Other,Salvadoran,Civ Employed
Female,33,Never,bachelor's,24000,White,Salvadoran,Civ Employed
Male,33,Never,some HS,22000,Other,Mexican,Civ Employed-not working
Female,33,Married,some HS,0,White,Mexican,Not in labor force
Female,33,Married,some college,0,White,Mexican,Not in labor force
Male,33,Never,some HS,0,White,Mexican,Not in labor force
Male,33,Never,some HS,0,White,Mexican,Not in labor force
Female,33,Married,bachelor's,50,Multi,Not Hisp,Not in labor force
Female,33,Married,HS Grad,0,White,Not Hisp,Not in labor force
Female,33,Married,bachelor's,0,White,Not Hisp,Not in labor force
Male,33,Never,HS Grad,0,White,Not Hisp,Not in labor force
Male,33,Never,HS Grad,0,Multi,Puerto Rican,Not in labor force
Female,33,Married,HS Grad,0,White,Not Hisp,Unemployed
Male,33,Married,HS Grad,5,White,Not Hisp,Unemployed
Female,33,Never,some HS,18000,White,Not Hisp,Unemployed
Female,33,Separated,some college,12000,White,Not Hisp,Unemployed
Male,34,Married,8 or less,28000,AmInd+,Guatemalan,Civ Employed
Female,34,Married,graduate,58000,Multi,Mexican,Civ Employed
Male,34,Married,some HS,8000,Other,Mexican,Civ Employed
Female,34,Married,some HS,16000,White,Mexican,Civ Employed
Male,34,Married,some HS,14400,White,Mexican,Civ Employed
Male,34,Married,bachelor's,18000,White,Mexican,Civ Employed
Male,34,Never,8 or less,13000,Other,Mexican,Civ Employed
Male,34,Never,some college,17000,Other,Mexican,Civ Employed
Female,34,Divorced,some college,24450,White,Not Hisp,Civ Employed
Female,34,Married,HS Grad,17200,Asian,Not Hisp,Civ Employed
Male,34,Married,bachelor's,80000,Asian,Not Hisp,Civ Employed
Female,34,Married,some college,8000,White,Not Hisp,Civ Employed
Male,34,Married,bachelor's,78000,White,Not Hisp,Civ Employed
Male,34,Married,some college,40000,White,Not Hisp,Civ Employed
Male,34,Married,graduate,80000,White,Not Hisp,Civ Employed
Male,34,Married,bachelor's,70000,White,Not Hisp,Civ Employed
Male,34,Married,some college,160000,White,Not Hisp,Civ Employed
Male,34,Married,HS Grad,33300,White,Not Hisp,Civ Employed
Female,34,Never,graduate,109000,Asian,Not Hisp,Civ Employed
Male,34,Never,graduate,2900,Asian,Not Hisp,Civ Employed
Female,34,Never,graduate,130000,White,Not Hisp,Civ Employed
Female,34,Never,graduate,80000,White,Not Hisp,Civ Employed
Female,34,Never,bachelor's,70700,White,Not Hisp,Civ Employed
Female,34,Never,some college,25000,White,Not Hisp,Civ Employed
Male,34,Never,graduate,129000,White,Not Hisp,Civ Employed
Male,34,Never,HS Grad,50000,White,Not Hisp,Civ Employed
Male,34,Never,HS Grad,21000,Other,Salvadoran,Civ Employed
Female,34,Married,some college,6000,White,Not Hisp,Civ Employed-not working
Female,34,Married,graduate,50000,White,Not Hisp,Civ Employed-not working
Female,34,Married,8 or less,0,White,Mexican,Not in labor force
Female,34,Married,HS Grad,0,White,Mexican,Not in labor force
Female,34,Married,bachelor's,0,Asian,Not Hisp,Not in labor force
Female,34,Married,some college,23000,Multi,Not Hisp,Not in labor force
Female,34,Married,HS Grad,0,White,Not Hisp,Not in labor force
Female,34,Married,bachelor's,0,White,Not Hisp,Not in labor force
Female,34,Married,bachelor's,0,White,Not Hisp,Not in labor force
Female,34,Never,some college,3830,Black,Not Hisp,Not in labor force
Male,34,Never,HS Grad,8800,White,Not Hisp,Not in labor force
Male,34,Never,some college,10200,White,Not Hisp,Not in labor force
Female,34,Separated,some HS,17000,Other,Mexican,Unemployed
Male,34,Married,bachelor's,240,Asian,Not Hisp,Unemployed
Male,35,Never,8 or less,15000,Other,Guatemalan,Civ Employed
Male,35,Separated,some HS,19000,Other,Guatemalan,Civ Employed
Male,35,Divorced,8 or less,11000,Other,Mexican,Civ Employed
Male,35,Married,HS Grad,40000,AmInd+,Mexican,Civ Employed
Female,35,Married,some college,12600,Other,Mexican,Civ Employed
Male,35,Married,bachelor's,38000,White,Mexican,Civ Employed
Male,35,Married,HS Grad,40000,White,Mexican,Civ Employed
Male,35,Married,8 or less,27000,White,Mexican,Civ Employed
Male,35,Married,8 or less,25000,White,Mexican,Civ Employed
Female,35,Never,HS Grad,5500,Multi,Mexican,Civ Employed
Female,35,Never,HS Grad,28800,Other,Mexican,Civ Employed
Female,35,Never,some college,24000,Other,Mexican,Civ Employed
Female,35,Never,8 or less,77000,Other,Mexican,Civ Employed
Female,35,Never,bachelor's,112000,White,Mexican,Civ Employed
Male,35,Divorced,HS Grad,55000,White,Not Hisp,Civ Employed
Male,35,Divorced,some college,30000,White,Not Hisp,Civ Employed
Female,35,Married,bachelor's,80560,Asian,Not Hisp,Civ Employed
Female,35,Married,HS Grad,15000,Asian,Not Hisp,Civ Employed
Female,35,Married,some college,28000,Black,Not Hisp,Civ Employed
Female,35,Married,bachelor's,105000,White,Not Hisp,Civ Employed
Female,35,Married,some college,105100,White,Not Hisp,Civ Employed
Female,35,Married,bachelor's,10000,White,Not Hisp,Civ Employed
Female,35,Married,bachelor's,47200,White,Not Hisp,Civ Employed
Male,35,Married,graduate,52000,White,Not Hisp,Civ Employed
Male,35,Married,graduate,423000,White,Not Hisp,Civ Employed
Male,35,Married,some college,45000,White,Not Hisp,Civ Employed
Male,35,Married,some college,30000,White,Not Hisp,Civ Employed
Male,35,Married,graduate,230000,White,Not Hisp,Civ Employed
Male,35,Married,HS Grad,50000,White,Not Hisp,Civ Employed
Male,35,Married,some HS,57000,White,Not Hisp,Civ Employed
Male,35,Married,HS Grad,96000,White,Not Hisp,Civ Employed
Female,35,Never,some college,70000,AmInd+,Not Hisp,Civ Employed
Female,35,Never,some college,32000,Asian,Not Hisp,Civ Employed
Male,35,Never,bachelor's,80000,Asian,Not Hisp,Civ Employed
Female,35,Never,graduate,40000,Black,Not Hisp,Civ Employed
Female,35,Never,graduate,20000,White,Not Hisp,Civ Employed
Male,35,Never,some college,28400,White,Not Hisp,Civ Employed
Male,35,Married,8 or less,29000,Other,Other Hisp/Latino,Civ Employed
Female,35,Married,bachelor's,58000,Other,Mexican,Civ Employed-not working
Female,35,Married,HS Grad,1400,White,Mexican,Civ Employed-not working
Male,35,Married,graduate,80000,Asian,Not Hisp,Civ Employed-not working
Male,35,Married,graduate,55000,White,Not Hisp,Civ Employed-not working
Female,35,Married,HS Grad,0,White,Mexican,Not in labor force
Female,35,Never,8 or less,0,Other,Mexican,Not in labor force
Male,35,Never,some HS,2400,Other,Mexican,Not in labor force
Male,35,Never,some HS,7700,White,Mexican,Not in labor force
Male,35,Never,HS Grad,0,White,Mexican,Not in labor force
Female,35,Married,HS Grad,0,AmInd+,Not Hisp,Not in labor force
Female,35,Married,some HS,0,Asian,Not Hisp,Not in labor force
Female,35,Married,graduate,33700,Black,Not Hisp,Not in labor force
Female,35,Married,HS Grad,0,White,Not Hisp,Not in labor force
Female,35,Never,HS Grad,10,Black,Not Hisp,Not in labor force
Male,35,Never,some college,0,White,Not Hisp,Not in labor force
Male,35,Never,HS Grad,0,White,Not Hisp,Not in labor force
Male,35,Never,HS Grad,16200,White,Not Hisp,Not in labor force
Male,36,Married,some college,40000,Multi,Bolivian,Civ Employed
Female,36,Married,HS Grad,55000,Other,Mexican,Civ Employed
Female,36,Married,HS Grad,35300,Other,Mexican,Civ Employed
Male,36,Married,some HS,19000,Other,Mexican,Civ Employed
Male,36,Married,some HS,21000,Other,Mexican,Civ Employed
Male,36,Married,some college,45000,Other,Mexican,Civ Employed
Female,36,Married,some college,28000,White,Mexican,Civ Employed
Female,36,Married,8 or less,4500,White,Mexican,Civ Employed
Male,36,Married,HS Grad,48300,White,Mexican,Civ Employed
Male,36,Married,some HS,15000,White,Mexican,Civ Employed
Female,36,Never,some college,25000,Other,Mexican,Civ Employed
Female,36,Never,bachelor's,45000,White,Mexican,Civ Employed
Male,36,Never,some HS,16000,White,Mexican,Civ Employed
Female,36,Divorced,some college,43000,White,Not Hisp,Civ Employed
Male,36,Divorced,HS Grad,28000,White,Not Hisp,Civ Employed
Female,36,Married,some college,36000,Asian,Not Hisp,Civ Employed
Female,36,Married,some college,30000,Asian,Not Hisp,Civ Employed
Female,36,Married,bachelor's,47000,Asian,Not Hisp,Civ Employed
Female,36,Married,some college,24500,Asian,Not Hisp,Civ Employed
Male,36,Married,some college,5000,Asian,Not Hisp,Civ Employed
Male,36,Married,bachelor's,70000,Asian,Not Hisp,Civ Employed
Female,36,Married,graduate,47000,Other,Not Hisp,Civ Employed
Female,36,Married,bachelor's,75000,White,Not Hisp,Civ Employed
Female,36,Married,graduate,75000,White,Not Hisp,Civ Employed
Male,36,Married,some HS,120000,White,Not Hisp,Civ Employed
Male,36,Married,some college,55000,White,Not Hisp,Civ Employed
Male,36,Married,bachelor's,421000,White,Not Hisp,Civ Employed
Male,36,Married,bachelor's,125000,White,Not Hisp,Civ Employed
Male,36,Married,HS Grad,60000,White,Not Hisp,Civ Employed
Male,36,Married,bachelor's,112500,White,Not Hisp,Civ Employed
Male,36,Never,bachelor's,85000,Asian,Not Hisp,Civ Employed
Male,36,Never,HS Grad,13500,White,Not Hisp,Civ Employed
Male,36,Never,graduate,65000,White,Not Hisp,Civ Employed
Male,36,Married,8 or less,3600,Other,Peruvian,Civ Employed
Female,36,Separated,8 or less,12000,Other,Peruvian,Civ Employed
Female,36,Married,HS Grad,0,Other,Mexican,Not in labor force
Female,36,Married,8 or less,0,Other,Mexican,Not in labor force
Female,36,Married,some college,0,White,Mexican,Not in labor force
Female,36,Married,HS Grad,0,White,Mexican,Not in labor force
Female,36,Married,HS Grad,0,White,Mexican,Not in labor force
Female,36,Never,HS Grad,10600,Multi,Mexican,Not in labor force
Male,36,Never,some HS,10100,Multi,Mexican,Not in labor force
Female,36,Married,graduate,0,Multi,Not Hisp,Not in labor force
Female,36,Married,some college,4000,White,Not Hisp,Not in labor force
Female,36,Married,bachelor's,0,White,Not Hisp,Not in labor force
Female,36,Married,bachelor's,0,White,Not Hisp,Not in labor force
Female,36,Married,bachelor's,12000,White,Not Hisp,Not in labor force
Female,36,Never,8 or less,0,Asian,Not Hisp,Not in labor force
Male,36,Never,bachelor's,4000,White,Not Hisp,Not in labor force
Male,36,Never,bachelor's,140000,White,Not Hisp,Unemployed
Female,37,Divorced,bachelor's,62000,White,Mexican,Civ Employed
Female,37,Divorced,HS Grad,15800,White,Mexican,Civ Employed
Female,37,Married,some college,9600,Other,Mexican,Civ Employed
Female,37,Married,some college,48000,Other,Mexican,Civ Employed
Male,37,Married,HS Grad,33000,Other,Mexican,Civ Employed
Female,37,Married,some college,500,White,Mexican,Civ Employed
Male,37,Married,graduate,65000,White,Mexican,Civ Employed
Male,37,Married,HS Grad,10000,White,Mexican,Civ Employed
Female,37,Never,graduate,80160,White,Mexican,Civ Employed
Female,37,Separated,some HS,16000,White,Mexican,Civ Employed
Female,37,Divorced,graduate,38600,Asian,Not Hisp,Civ Employed
Female,37,Divorced,graduate,45000,White,Not Hisp,Civ Employed
Female,37,Married,graduate,77000,Asian,Not Hisp,Civ Employed
Male,37,Married,bachelor's,180000,Asian,Not Hisp,Civ Employed
Male,37,Married,bachelor's,120000,Asian,Not Hisp,Civ Employed
Male,37,Married,8 or less,7000,Asian,Not Hisp,Civ Employed
Male,37,Married,HS Grad,45000,Asian,Not Hisp,Civ Employed
Female,37,Married,graduate,125000,Black,Not Hisp,Civ Employed
Female,37,Married,graduate,133000,White,Not Hisp,Civ Employed
Female,37,Married,HS Grad,20000,White,Not Hisp,Civ Employed
Female,37,Married,bachelor's,85000,White,Not Hisp,Civ Employed
Female,37,Married,bachelor's,50000,White,Not Hisp,Civ Employed
Female,37,Married,some college,73000,White,Not Hisp,Civ Employed
Male,37,Married,bachelor's,115000,White,Not Hisp,Civ Employed
Male,37,Married,graduate,4300,White,Not Hisp,Civ Employed
Male,37,Married,graduate,113000,White,Not Hisp,Civ Employed
Male,37,Married,bachelor's,84000,White,Not Hisp,Civ Employed
Male,37,Married,bachelor's,61000,White,Not Hisp,Civ Employed
Female,37,Never,bachelor's,180000,Asian,Not Hisp,Civ Employed
Female,37,Never,some college,42000,Asian,Not Hisp,Civ Employed
Female,37,Never,HS Grad,45500,Asian,Not Hisp,Civ Employed
Female,37,Never,bachelor's,30000,Asian,Not Hisp,Civ Employed
Female,37,Never,some college,6200,Black,Not Hisp,Civ Employed
Female,37,Never,bachelor's,100000,White,Not Hisp,Civ Employed
Male,37,Never,some college,12000,White,Not Hisp,Civ Employed
Male,37,Never,HS Grad,23500,White,Not Hisp,Civ Employed
Female,37,Married,bachelor's,80000,Asian,Not Hisp,Civ Employed-not working
Female,37,Married,some HS,5000,Other,Mexican,Not in labor force
Female,37,Married,8 or less,0,Other,Mexican,Not in labor force
Female,37,Married,8 or less,18600,White,Mexican,Not in labor force
Female,37,Married,HS Grad,0,White,Mexican,Not in labor force
Male,37,Married,graduate,24900,Asian,Not Hisp,Not in labor force
Female,37,Married,bachelor's,0,White,Not Hisp,Not in labor force
Female,37,Married,some college,0,White,Not Hisp,Not in labor force
Male,37,Married,bachelor's,8000,White,Not Hisp,Not in labor force
Female,37,Married,some college,14200,White,Not Hisp,Unemployed
Female,37,Never,graduate,5500,White,Not Hisp,Unemployed
Male,37,Never,graduate,24000,White,Not Hisp,Unemployed
Male,38,Never,graduate,123000,White,Not Hisp,Armed Forces
Male,38,Divorced,8 or less,17000,White,Mexican,Civ Employed
Female,38,Married,some college,30000,Other,Mexican,Civ Employed
Female,38,Married,HS Grad,22000,White,Mexican,Civ Employed
Male,38,Married,HS Grad,17000,White,Mexican,Civ Employed
Male,38,Married,HS Grad,16600,White,Mexican,Civ Employed
Male,38,Married,some college,110000,White,Mexican,Civ Employed
Female,38,Never,some college,40000,Other,Mexican,Civ Employed
Male,38,Never,some HS,12000,Other,Mexican,Civ Employed
Male,38,Never,bachelor's,12800,White,Mexican,Civ Employed
Male,38,Never,HS Grad,100000,White,Mexican,Civ Employed
Female,38,Widowed,some college,32000,White,Mexican,Civ Employed
Female,38,Divorced,some college,14000,White,Not Hisp,Civ Employed
Female,38,Divorced,bachelor's,97000,White,Not Hisp,Civ Employed
Female,38,Married,bachelor's,50000,Asian,Not Hisp,Civ Employed
Male,38,Married,graduate,201000,Asian,Not Hisp,Civ Employed
Male,38,Married,some college,4200,Asian,Not Hisp,Civ Employed
Female,38,Married,some college,40000,White,Not Hisp,Civ Employed
Female,38,Married,bachelor's,225000,White,Not Hisp,Civ Employed
Female,38,Married,graduate,80000,White,Not Hisp,Civ Employed
Male,38,Married,graduate,200000,White,Not Hisp,Civ Employed
Male,38,Married,bachelor's,65000,White,Not Hisp,Civ Employed
Male,38,Married,bachelor's,80000,White,Not Hisp,Civ Employed
Male,38,Married,graduate,80000,White,Not Hisp,Civ Employed
Male,38,Married,HS Grad,48000,White,Not Hisp,Civ Employed
Male,38,Married,graduate,105000,White,Not Hisp,Civ Employed
Male,38,Married,some college,14000,White,Not Hisp,Civ Employed
Male,38,Married,graduate,110000,White,Not Hisp,Civ Employed
Male,38,Married,bachelor's,75000,White,Not Hisp,Civ Employed
Female,38,Never,some HS,20000,AmInd+,Not Hisp,Civ Employed
Female,38,Never,HS Grad,25000,Asian,Not Hisp,Civ Employed
Male,38,Never,bachelor's,48000,Asian,Not Hisp,Civ Employed
Female,38,Never,some college,48100,White,Not Hisp,Civ Employed
Male,38,Never,some college,60000,White,Not Hisp,Civ Employed
Male,38,Never,HS Grad,40000,White,Not Hisp,Civ Employed
Male,38,Never,graduate,70000,White,Not Hisp,Civ Employed
Female,38,Married,HS Grad,30300,White,Puerto Rican,Civ Employed
Male,38,Never,some HS,51000,White,Salvadoran,Civ Employed
Female,38,Divorced,some college,36000,Black,Not Hisp,Civ Employed-not working
Male,38,Divorced,HS Grad,2000,Multi,Mexican,Not in labor force
Female,38,Married,some college,0,White,Mexican,Not in labor force
Female,38,Never,8 or less,320,Other,Mexican,Not in labor force
Female,38,Never,8 or less,0,White,Mexican,Not in labor force
Female,38,Never,8 or less,0,White,Mexican,Not in labor force
Male,38,Never,HS Grad,100,White,Mexican,Not in labor force
Male,38,Married,HS Grad,81000,Black,Not Hisp,Not in labor force
Female,38,Married,HS Grad,38000,Multi,Not Hisp,Not in labor force
Female,38,Married,bachelor's,0,White,Not Hisp,Not in labor force
Male,38,Never,HS Grad,100,White,Not Hisp,Not in labor force
Male,38,Married,HS Grad,33000,Other,Mexican,Unemployed
Male,38,Married,8 or less,6300,White,Mexican,Unemployed
Male,39,Married,HS Grad,72000,White,Cuban,Civ Employed
Male,39,Divorced,HS Grad,43300,White,Mexican,Civ Employed
Male,39,Married,8 or less,14000,Other,Mexican,Civ Employed
Female,39,Married,bachelor's,60000,White,Mexican,Civ Employed
Female,39,Married,HS Grad,41000,White,Mexican,Civ Employed
Male,39,Married,some HS,48000,White,Mexican,Civ Employed
Male,39,Married,graduate,90010,White,Mexican,Civ Employed
Male,39,Married,HS Grad,43000,White,Mexican,Civ Employed
Male,39,Married,bachelor's,18000,White,Mexican,Civ Employed
Male,39,Never,some HS,12700,Other,Mexican,Civ Employed
Female,39,Never,some college,52000,White,Mexican,Civ Employed
Female,39,Never,HS Grad,24000,White,Mexican,Civ Employed
Female,39,Never,8 or less,20000,White,Mexican,Civ Employed
Male,39,Never,8 or less,10000,White,Mexican,Civ Employed
Male,39,Never,some college,39700,White,Mexican,Civ Employed
Female,39,Separated,8 or less,12000,White,Mexican,Civ Employed
Female,39,Divorced,HS Grad,15300,HawPacIsl,Not Hisp,Civ Employed
Female,39,Divorced,some college,11500,White,Not Hisp,Civ Employed
Female,39,Married,HS Grad,22100,Asian,Not Hisp,Civ Employed
Female,39,Married,HS Grad,6000,Asian,Not Hisp,Civ Employed
Female,39,Married,HS Grad,19000,Asian,Not Hisp,Civ Employed
Male,39,Married,graduate,134000,Asian,Not Hisp,Civ Employed
Male,39,Married,HS Grad,13700,Asian,Not Hisp,Civ Employed
Male,39,Married,graduate,421000,Multi,Not Hisp,Civ Employed
Female,39,Married,bachelor's,85000,White,Not Hisp,Civ Employed
Female,39,Married,bachelor's,50000,White,Not Hisp,Civ Employed
Female,39,Married,some college,2000,White,Not Hisp,Civ Employed
Female,39,Married,HS Grad,15000,White,Not Hisp,Civ Employed
Male,39,Married,bachelor's,59000,White,Not Hisp,Civ Employed
Male,39,Married,HS Grad,80000,White,Not Hisp,Civ Employed
Male,39,Married,some college,20000,White,Not Hisp,Civ Employed
Male,39,Married,graduate,102000,White,Not Hisp,Civ Employed
Male,39,Married,graduate,15000,White,Not Hisp,Civ Employed
Male,39,Married,HS Grad,43000,White,Not Hisp,Civ Employed
Male,39,Married,HS Grad,6600,White,Not Hisp,Civ Employed
Female,39,Never,bachelor's,100000,Asian,Not Hisp,Civ Employed
Female,39,Never,some college,36000,Black,Not Hisp,Civ Employed
Female,39,Never,some college,75000,White,Not Hisp,Civ Employed
Female,39,Never,graduate,80000,White,Not Hisp,Civ Employed
Female,39,Never,bachelor's,53000,White,Not Hisp,Civ Employed
Male,39,Never,some college,30000,White,Not Hisp,Civ Employed
Male,39,Never,some college,8000,White,Not Hisp,Civ Employed
Male,39,Married,bachelor's,10000,Other,Salvadoran,Civ Employed
Female,39,Married,some HS,0,Other,Mexican,Not in labor force
Female,39,Married,graduate,0,Asian,Not Hisp,Not in labor force
Male,39,Married,bachelor's,0,Asian,Not Hisp,Not in labor force
Female,39,Married,HS Grad,0,Black,Not Hisp,Not in labor force
Female,39,Married,some HS,0,White,Not Hisp,Not in labor force
Female,39,Married,some college,800,White,Not Hisp,Not in labor force
Female,39,Married,some college,30,White,Not Hisp,Not in labor force
Male,39,Divorced,some college,20000,White,Not Hisp,Unemployed
Female,39,Married,some college,8400,White,Not Hisp,Unemployed
Male,39,Never,HS Grad,0,Asian,Not Hisp,Unemployed
Female,39,Never,graduate,163500,White,Not Hisp,Unemployed
Male,39,Never,bachelor's,8000,White,Not Hisp,Unemployed
Female,39,Married,some college,0,White,Peruvian,Unemployed
Female,40,Married,some HS,7900,Other,Guatemalan,Civ Employed
Male,40,Never,bachelor's,2100,Other,Guatemalan,Civ Employed
Male,40,Never,8 or less,15000,Other,Guatemalan,Civ Employed
Male,40,Never,8 or less,15000,Other,Guatemalan,Civ Employed
Female,40,Married,some college,13500,Other,Honduran,Civ Employed
Female,40,Married,some college,22000,Other,Mexican,Civ Employed
Male,40,Married,some college,18000,Other,Mexican,Civ Employed
Male,40,Married,8 or less,24000,Other,Mexican,Civ Employed
Female,40,Married,some college,40300,White,Mexican,Civ Employed
Male,40,Married,HS Grad,16600,White,Mexican,Civ Employed
Male,40,Married,some HS,30000,White,Mexican,Civ Employed
Male,40,Married,8 or less,19000,White,Mexican,Civ Employed
Male,40,Never,HS Grad,9000,Other,Mexican,Civ Employed
Female,40,Never,8 or less,12000,White,Mexican,Civ Employed
Male,40,Never,some HS,60000,White,Mexican,Civ Employed
Male,40,Never,8 or less,21600,White,Mexican,Civ Employed
Male,40,Married,graduate,142500,White,Nicaraguan,Civ Employed
Female,40,Divorced,HS Grad,50000,White,Not Hisp,Civ Employed
Male,40,Divorced,bachelor's,12100,White,Not Hisp,Civ Employed
Female,40,Married,bachelor's,18000,Asian,Not Hisp,Civ Employed
Female,40,Married,graduate,88800,Asian,Not Hisp,Civ Employed
Male,40,Married,graduate,91000,Asian,Not Hisp,Civ Employed
Male,40,Married,graduate,130000,Asian,Not Hisp,Civ Employed
Male,40,Married,bachelor's,60000,Asian,Not Hisp,Civ Employed
Female,40,Married,HS Grad,30000,Black,Not Hisp,Civ Employed
Male,40,Married,some HS,150000,Multi,Not Hisp,Civ Employed
Female,40,Married,graduate,73000,White,Not Hisp,Civ Employed
Female,40,Married,some college,40000,White,Not Hisp,Civ Employed
Female,40,Married,bachelor's,82000,White,Not Hisp,Civ Employed
Male,40,Married,graduate,86000,White,Not Hisp,Civ Employed
Male,40,Married,some college,12000,White,Not Hisp,Civ Employed
Male,40,Married,graduate,62050,White,Not Hisp,Civ Employed
Male,40,Married,some college,62000,White,Not Hisp,Civ Employed
Male,40,Married,some college,54000,White,Not Hisp,Civ Employed
Male,40,Married,bachelor's,50000,White,Not Hisp,Civ Employed
Female,40,Never,graduate,80000,Asian,Not Hisp,Civ Employed
Female,40,Never,graduate,111200,Asian,Not Hisp,Civ Employed
Female,40,Never,HS Grad,30000,Asian,Not Hisp,Civ Employed
Male,40,Never,some college,18000,White,Not Hisp,Civ Employed
Male,40,Never,graduate,140300,White,Not Hisp,Civ Employed
Male,40,Never,bachelor's,50000,White,Not Hisp,Civ Employed
Male,40,Married,bachelor's,24000,Other,Peruvian,Civ Employed
Male,40,Never,8 or less,17100,Other,Salvadoran,Civ Employed
Female,40,Married,bachelor's,45000,Asian,Not Hisp,Civ Employed-not working
Female,40,Never,bachelor's,80000,White,Not Hisp,Civ Employed-not working
Male,40,Married,some HS,0,Other,Mexican,Not in labor force
Female,40,Married,some HS,19000,White,Mexican,Not in labor force
Female,40,Married,some college,0,White,Mexican,Not in labor force
Female,40,Married,graduate,0,Asian,Not Hisp,Not in labor force
Female,40,Married,some college,0,Asian,Not Hisp,Not in labor force
Female,40,Married,some college,0,White,Not Hisp,Not in labor force
Male,40,Married,bachelor's,0,White,Not Hisp,Not in labor force
Female,40,Never,bachelor's,0,Asian,Not Hisp,Not in labor force
Female,40,Never,some college,0,Black,Not Hisp,Not in labor force
Male,40,Never,HS Grad,0,White,Not Hisp,Not in labor force
Male,40,Married,some college,4100,White,Not Hisp,Unemployed
Female,40,Never,HS Grad,9400,White,Not Hisp,Unemployed
Male,40,Never,HS Grad,0,Other,Spaniard,Unemployed
Male,41,Married,bachelor's,80000,Multi,Guatemalan,Civ Employed
Female,41,Never,some HS,12000,White,Guatemalan,Civ Employed
Female,41,Married,8 or less,36700,Other,Mexican,Civ Employed
Male,41,Married,HS Grad,55000,Other,Mexican,Civ Employed
Female,41,Married,some college,9400,White,Mexican,Civ Employed
Male,41,Married,8 or less,37000,White,Mexican,Civ Employed
Male,41,Married,some HS,20000,White,Mexican,Civ Employed
Male,41,Married,some college,40000,White,Mexican,Civ Employed
Male,41,Never,some HS,12000,AmInd+,Mexican,Civ Employed
Male,41,Never,8 or less,25000,Other,Mexican,Civ Employed
Female,41,Separated,HS Grad,15000,White,Mexican,Civ Employed
Female,41,Divorced,some college,12000,Black,Not Hisp,Civ Employed
Female,41,Divorced,some college,105000,White,Not Hisp,Civ Employed
Female,41,Divorced,graduate,91000,White,Not Hisp,Civ Employed
Female,41,Married,HS Grad,49400,Asian,Not Hisp,Civ Employed
Female,41,Married,graduate,10000,Asian,Not Hisp,Civ Employed
Male,41,Married,bachelor's,421000,Asian,Not Hisp,Civ Employed
Male,41,Married,graduate,426000,Asian,Not Hisp,Civ Employed
Male,41,Married,bachelor's,92000,Asian,Not Hisp,Civ Employed
Male,41,Married,bachelor's,110000,Asian,Not Hisp,Civ Employed
Female,41,Married,some college,36500,Black,Not Hisp,Civ Employed
Male,41,Married,HS Grad,12000,Multi,Not Hisp,Civ Employed
Female,41,Married,some college,42900,White,Not Hisp,Civ Employed
Female,41,Married,graduate,68000,White,Not Hisp,Civ Employed
Male,41,Married,HS Grad,85000,White,Not Hisp,Civ Employed
Male,41,Married,some college,10100,White,Not Hisp,Civ Employed
Male,41,Married,graduate,93000,White,Not Hisp,Civ Employed
Male,41,Married,graduate,308000,White,Not Hisp,Civ Employed
Male,41,Married,graduate,72000,White,Not Hisp,Civ Employed
Male,41,Never,some college,24000,Black,Not Hisp,Civ Employed
Male,41,Never,some college,77000,White,Not Hisp,Civ Employed
Male,41,Separated,bachelor's,9600,White,Not Hisp,Civ Employed
Female,41,Married,HS Grad,7400,White,Mexican,Civ Employed-not working
Male,41,Never,some college,7500,White,Not Hisp,Civ Employed-not working
Female,41,Married,some college,0,Other,Mexican,Not in labor force
Male,41,Married,some HS,0,White,Mexican,Not in labor force
